Question Description,"Variable Name
(2023)","Variable Name
(2024)","Question Location
(2023)","Question Location
(2024)",Questionnaire Label,Label,2023 Availability,2024 Availability,Both Years
How would you characterize each of the following within your school? Teachers' understanding of the school's curricular goals,ACBG12A,ACBLG11A,ScQ-12a,ScQ-11a,School,,✓,✓,✓
How would you characterize each of the following within your school? Teachers' degree of success in implementing the school's curriculum,ACBG12B,ACBLG11B,ScQ-12b,ScQ-11b,School,,✓,✓,✓
How would you characterize each of the following within your school? Teachers' expectations for student achievement,ACBG12C,ACBLG11C,ScQ-12c,ScQ-11c,School,,✓,✓,✓
How would you characterize each of the following within your school? Teachers' ability to inspire students,ACBG12D,ACBLG11D,ScQ-12d,ScQ-11d,School,,✓,✓,✓
How would you characterize each of the following within your school? Parental involvement in school activities,ACBG12E,ACBLG11E,ScQ-12e,ScQ-11e,School,,✓,✓,✓
How would you characterize each of the following within your school? Parental commitment to ensure that students are ready to learn,ACBG12F,ACBLG11F,ScQ-12f,ScQ-11f,School,,✓,✓,✓
How would you characterize each of the following within your school? Parental expectations for student achievement,ACBG12G,ACBLG11G,ScQ-12g,ScQ-11g,School,,✓,✓,✓
How would you characterize each of the following within your school? Parental support for student achievement,ACBG12H,ACBLG11H,ScQ-12h,ScQ-11h,School,,✓,✓,✓
How would you characterize each of the following within your school? Students' desire to do well in school,ACBG12I,ACBLG11I,ScQ-12i,ScQ-11i,School,,✓,✓,✓
How would you characterize each of the following within your school? Students' ability to reach school's academic goals,ACBG12J,ACBLG11J,ScQ-12j,ScQ-11j,School,,✓,✓,✓
How would you characterize each of the following within your school? Students' respect for classmates who excel academically,ACBG12K,ACBLG11K,ScQ-12k,ScQ-11k,School,,✓,✓,✓
"How much do you agree with these statements about mathematics and science education in your school? The school has initiatives to promote student interest in mathematics and science (e.g., student clubs, competitions)",,ACBLG12A,,ScQ-12a,School,,,✓,
How much do you agree with these statements about mathematics and science education in your school? The school provides special activities in mathematics and science for interested students,,ACBLG12B,,ScQ-12b,School,,,✓,
How much do you agree with these statements about mathematics and science education in your school? The school emphasizes the importance of studying mathematics and science in the future,,ACBLG12C,,ScQ-12c,School,,,✓,
"Does your school offer the following? <Remedial> programs in mathematics for <fifth grade> students (e.g., <tutoring, extra classes>)",,ACBLG13A,,ScQ-13a,School,,,✓,
"Does your school offer the following? <Enrichment> programs in mathematics for <fifth grade> students (e.g., <extra classes, clubs>)",,ACBLG13B,,ScQ-13b,School,,,✓,
"Does your school offer the following? <Remedial> programs in science for <fifth grade> students (e.g., <tutoring, extra classes>)",,ACBLG13C,,ScQ-13c,School,,,✓,
"Does your school offer the following? <Enrichment> programs in science for <fifth grade> students (e.g., <extra classes, clubs>)",,ACBLG13D,,ScQ-13d,School,,,✓,
Does your school offer the following? Additional teachers or support staff in <fifth grade> mathematics classes when needed,,ACBLG13E,,ScQ-13e,School,,,✓,
Does your school offer the following? Additional teachers or support staff in <fifth grade> science classes when needed,,ACBLG13F,,ScQ-13f,School,,,✓,
How much do you agree or disagree with these statements about your school? Teachers communicate with each other across grade levels about students and teaching practices,,ACBLG14A,,ScQ-14a,School,,,✓,
How much do you agree or disagree with these statements about your school? Teachers and staff in this school are open to changes in their practices,,ACBLG14B,,ScQ-14b,School,,,✓,
How much do you agree or disagree with these statements about your school? The school provides support for teachers who wish to develop new ideas,,ACBLG14C,,ScQ-14c,School,,,✓,
How much do you agree or disagree with these statements about your school? Teachers and staff in this school regularly engage in creative problem solving,,ACBLG14D,,ScQ-14d,School,,,✓,
How much do you agree with these statements? This school has a shared vision about its role in supporting environmental sustainability,ACBG13A,ACBLG15A,ScQ-13a,ScQ-15a,School,,✓,✓,✓
How much do you agree with these statements? This school regularly reviews its practices to make them more environmentally sustainable,ACBG13B,ACBLG15B,ScQ-13b,ScQ-15b,School,,✓,✓,✓
How much do you agree with these statements? There is a schoolwide approach to teaching environmental sustainability to students,ACBG13C,ACBLG15C,ScQ-13c,ScQ-15c,School,,✓,✓,✓
How much do you agree with these statements? This school teaches students to appreciate the natural environment,ACBG13D,ACBLG15D,ScQ-13d,ScQ-15d,School,,✓,✓,✓
How much do you agree with these statements? This school teaches students how to take action to protect the natural environment,ACBG13E,ACBLG15E,ScQ-13e,ScQ-15e,School,,✓,✓,✓
How much do you agree with these statements? This school encourages teachers to learn about teaching environmental sustainability,ACBG13F,ACBLG15F,ScQ-13f,ScQ-15f,School,,✓,✓,✓
How much do you agree with these statements? This school promotes environmental sustainability within the community,ACBG13G,ACBLG15G,ScQ-13g,ScQ-15g,School,,✓,✓,✓
How much do you agree with these statements? This school promotes participation in networks or projects related to environmental sustainability,ACBG13H,ACBLG15H,ScQ-13h,ScQ-15h,School,,✓,✓,✓
"By the end of this school year, how many years will you have been a principal altogether?",ACBG17,ACBLG16,ScQ-17,ScQ-16,School,,✓,✓,✓
"By the end of this school year, how many years will you have been a principal at this school?",ACBG18,ACBLG17,ScQ-18,ScQ-17,School,,✓,✓,✓
What is the highest level of formal education you have completed?,ACBG19,ACBLG18,ScQ-19,ScQ-18,School,,✓,✓,✓
Do you hold the following qualifications or credentials in educational leadership? <Certificate or license>,ACBG20A,ACBLG19A,ScQ-20a,ScQ-19a,School,,✓,✓,✓
Do you hold the following qualifications or credentials in educational leadership? <Master’s or equivalent level—ISCED Level 7>,ACBG20B,ACBLG19B,ScQ-20b,ScQ-19b,School,,✓,✓,✓
Do you hold the following qualifications or credentials in educational leadership?  <Doctor or equivalent level—ISCED Level 8>,ACBG20C,ACBLG19C,ScQ-20c,ScQ-19c,School,,✓,✓,✓
Which of these describes you?,ASBG01,ASBLG01,SQG-01,SQG-01,Student,,✓,✓,✓
When were you born? Month,ASBG02A,ASBLG02A,SQG-02a,SQG-02A,Student,,✓,✓,✓
When were you born? Year,ASBG02B,ASBLG02B,SQG-02b,SQG-02B,Student,,✓,✓,✓
How often do you speak <language of test> at home?,ASBG03,ASBLG03,SQG-03,SQG-03,Student,,✓,✓,✓
"About how many books are there in your home? (Do not count magazines, newspapers, or your school books.)",ASBG04,ASBLG04,SQG-04,SQG-04,Student,,✓,✓,✓
Do you have any of these things at your home? Your own computer or tablet,ASBG05A,ASBLG05A,SQG-05a,SQG-05a,Student,,✓,✓,✓
Do you have any of these things at your home? A shared computer or tablet you can use,ASBG05B,ASBLG05B,SQG-05b,SQG-05b,Student,,✓,✓,✓
Do you have any of these things at your home? A smartphone,ASBG05C,ASBLG05C,SQG-05c,SQG-05c,Student,,✓,✓,✓
Do you have any of these things at your home? Access to the internet,ASBG05D,ASBLG05D,SQG-05d,SQG-05d,Student,,✓,✓,✓
Do you have any of these things at your home? Study desk/table for your use,ASBG05E,ASBLG05E,SQG-05e,SQG-05e,Student,,✓,✓,✓
Do you have any of these things at your home? Your own room,ASBG05F,ASBLG05F,SQG-05f,SQG-05f,Student,,✓,✓,✓
Do you have any of these things at your home? <country-specific indicator of wealth>,ASBG05G,,SQG-05g,,Student,,✓,,
Do you have any of these things at your home? <country-specific indicator of wealth>,ASBG05H,,SQG-05h,,Student,,✓,,
Do you have any of these things at your home? <country-specific indicator of wealth>,ASBG05I,,SQG-05i,,Student,,✓,,
Do you have any of these things at your home? <country-specific indicator of wealth>,ASBG05J,,SQG-05j,,Student,,✓,,
Were your <parents/guardians> born in <country>? <Parent/Guardian A>,ASBG06A,,SQG-06A,,Student,,✓,,
Were your <parents/guardians> born in <country>? <Parent/Guardian B>,ASBG06B,,SQG-06B,,Student,,✓,,
Were you born in <country>?,ASBG07,,SQG-07,,Student,,✓,,
About how often are you absent from school?,ASBG08,ASBLG06,SQG-08,SQG-06,Student,,✓,✓,✓
How often do you feel this way when you arrive at school? I feel tired,ASBG09A,ASBLG07A,SQG-09a,SQG-07a,Student,,✓,✓,✓
How often do you feel this way when you arrive at school? I feel hungry,ASBG09B,ASBLG07B,SQG-09b,SQG-07b,Student,,✓,✓,✓
"How much do you agree with these statements? I can write and edit text on a computer, tablet, or smartphone",ASBG10A,ASBLG08A,SQG-10a,SQG-08a,Student,,✓,✓,✓
"How much do you agree with these statements? I can create school presentations using a computer, tablet, or smartphone",ASBG10B,ASBLG08B,SQG-10b,SQG-08b,Student,,✓,✓,✓
"How much do you agree with these statements? I can create tables, charts, and graphs using a computer, tablet, or smartphone",ASBG10C,ASBLG08C,SQG-10c,SQG-08c,Student,,✓,✓,✓
How much do you agree with these statements? I can find information that I need online,ASBG10D,ASBLG08D,SQG-10d,SQG-08d,Student,,✓,✓,✓
How much do you agree with these statements? I can tell if a website is trustworthy,ASBG10E,ASBLG08E,SQG-10e,SQG-08e,Student,,✓,✓,✓
"How much do you agree with these statements? I can easily do new things on computers, laptops, or smartphones",ASBG10F,ASBLG08F,SQG-10f,SQG-08f,Student,,✓,✓,✓
"How much do you agree with these statements? I can help my friends or family members with using their computers, laptops, or smartphones",ASBG10G,ASBLG08G,SQG-10g,SQG-08g,Student,,✓,✓,✓
How much do you agree with these statements? I care about the protection of plants and animals,ASBG11A,ASBLG09A,SQG-11a,SQG-09a,Student,,✓,✓,✓
How much do you agree with these statements? It makes me sad when nature is destroyed,ASBG11B,ASBLG09B,SQG-11b,SQG-09b,Student,,✓,✓,✓
How much do you agree with these statements? I enjoy finding out what kinds of plants and animals live in my surrounding area,ASBG11C,ASBLG09C,SQG-11c,SQG-09c,Student,,✓,✓,✓
"How much do you agree with these statements? I enjoy being in nature (e.g., <forests, parks, deserts>)",ASBG11D,ASBLG09D,SQG-11d,SQG-09d,Student,,✓,✓,✓
How much do you agree with these statements? Addressing climate change should be a high priority,ASBG11E,ASBLG09E,SQG-11e,SQG-09e,Student,,✓,✓,✓
"How often do you do these things to help the natural environment? I try to reuse things (e.g., <bags, bottles>)",ASBG12A,ASBLG10A,SQG-12a,SQG-10a,Student,,✓,✓,✓
"How often do you do these things to help the natural environment? I try to use less resources (e.g., <water, food>)",ASBG12B,ASBLG10B,SQG-12b,SQG-10b,Student,,✓,✓,✓
"How often do you do these things to help the natural environment? I talk about how to help the environment (e.g., <saving water, picking up trash>)",ASBG12C,ASBLG10C,SQG-12c,SQG-10c,Student,,✓,✓,✓
"How often do you do these things to help the natural environment? I try to learn about environmental problems (e.g., <climate change, endangered animals>)",ASBG12D,ASBLG10D,SQG-12d,SQG-10d,Student,,✓,✓,✓
How often do you do these things to help the natural environment? I try to participate in group activities to help the environment,ASBG12E,ASBLG10E,SQG-12e,SQG-10e,Student,,✓,✓,✓
How often do you do these things to help the natural environment? I tell my friends when they are doing things that harm the environment,ASBG12F,ASBLG10F,SQG-12f,SQG-10f,Student,,✓,✓,✓
What do you think about your school? Tell how much you agree with these statements. I like being in school,ASBG13A,ASBLG11A,SQG-13a,SQG-11a,Student,,✓,✓,✓
What do you think about your school? Tell how much you agree with these statements. I feel safe when I am at school,ASBG13B,ASBLG11B,SQG-13b,SQG-11b,Student,,✓,✓,✓
What do you think about your school? Tell how much you agree with these statements. I feel like I belong at this school,ASBG13C,ASBLG11C,SQG-13c,SQG-11c,Student,,✓,✓,✓
What do you think about your school? Tell how much you agree with these statements. Teachers at this school care about me,ASBG13D,ASBLG11D,SQG-13d,SQG-11d,Student,,✓,✓,✓
What do you think about your school? Tell how much you agree with these statements. I am proud to go to this school,ASBG13E,ASBLG11E,SQG-13e,SQG-11e,Student,,✓,✓,✓
What do you think about your school? I have friends at this school,ASBG13F,ASBLG11F,SQG-13f,SQG-11f,Student,,✓,✓,✓
What do you think about your school? Tell how much you agree with these statements. Students at this school like me the way I am,ASBG13G,ASBLG11G,SQG-13g,SQG-11g,Student,,✓,✓,✓
"During this school year, how often have other students from your school done any of the following things to you in person, through messaging, or through social media? Made fun of me or called me names",ASBG14A,ASBLG12A,SQG-14a,SQG-12a,Student,,✓,✓,✓
"During this school year, how often have other students from your school done any of the following things to you in person, through messaging, or through social media? Left me out of their games or activities",ASBG14B,ASBLG12B,SQG-14b,SQG-12b,Student,,✓,✓,✓
"During this school year, how often have other students from your school done any of the following things to you in person, through messaging, or through social media? Spread lies about me",ASBG14C,ASBLG12C,SQG-14c,SQG-12c,Student,,✓,✓,✓
"During this school year, how often have other students from your school done any of the following things to you in person, through messaging, or through social media? Stole something from me",ASBG14D,ASBLG12D,SQG-14d,SQG-12d,Student,,✓,✓,✓
"During this school year, how often have other students from your school done any of the following things to you in person, through messaging, or through social media? Damaged something of mine on purpose",ASBG14E,ASBLG12E,SQG-14e,SQG-12e,Student,,✓,✓,✓
"During this school year, how often have other students from your school done any of the following things to you in person, through messaging, or through social media? Hit or hurt me (e.g., shoving, hitting, kicking)",ASBG14F,ASBLG12F,SQG-14f,SQG-12f,Student,,✓,✓,✓
"During this school year, how often have other students from your school done any of the following things to you in person, through messaging, or through social media? Made me do things I didn’t want to do",ASBG14G,ASBLG12G,SQG-14g,SQG-12g,Student,,✓,✓,✓
"During this school year, how often have other students from your school done any of the following things to you in person, through messaging, or through social media? Sent me nasty or hurtful messages online",ASBG14H,ASBLG12H,SQG-14h,SQG-12h,Student,,✓,✓,✓
"During this school year, how often have other students from your school done any of the following things to you in person, through messaging, or through social media? Shared nasty or hurtful things about me online",ASBG14I,ASBLG12I,SQG-14i,SQG-12i,Student,,✓,✓,✓
"During this school year, how often have other students from your school done any of the following things to you in person, through messaging, or through social media? Shared embarrassing photos of me online",ASBG14J,ASBLG12J,SQG-14j,SQG-12j,Student,,✓,✓,✓
"During this school year, how often have other students from your school done any of the following things to you in person, through messaging, or through social media? Threatened me",ASBG14K,ASBLG12K,SQG-14k,SQG-12k,Student,,✓,✓,✓
"In mathematics lessons, how often do you work on problems on your own?
",ASBM01,ASBLM01,SQMS-01,SQMS-01,Student,,✓,✓,✓
How much do you agree with these statements about learning mathematics? I enjoy learning mathematics,ASBM02A,ASBLM02A,SQMS-02a,SQMS-02a,Student,,✓,✓,✓
How much do you agree with these statements about learning mathematics? I wish I did not have to study mathematics,ASBM02B,,SQMS-02b,,Student,,✓,,
How much do you agree with these statements about learning mathematics? Mathematics is boring,ASBM02C,,SQMS-02c,,Student,,✓,,
How much do you agree with these statements about learning mathematics? I learn many interesting things in mathematics,ASBM02D,ASBLM02B,SQMS-02d,SQMS-02b,Student,,✓,✓,✓
How much do you agree with these statements about learning mathematics? I like mathematics,ASBM02E,ASBLM02C,SQMS-02e,SQMS-02c,Student,,✓,✓,✓
How much do you agree with these statements about learning mathematics? I like any schoolwork that involves numbers,ASBM02F,ASBLM02D,SQMS-02f,SQMS-02d,Student,,✓,✓,✓
How much do you agree with these statements about learning mathematics? I like to solve mathematics problems,ASBM02G,ASBLM02E,SQMS-02g,SQMS-02e,Student,,✓,✓,✓
How much do you agree with these statements about learning mathematics? I look forward to mathematics lessons,ASBM02H,ASBLM02F,SQMS-02h,SQMS-02f,Student,,✓,✓,✓
How much do you agree with these statements about learning mathematics? Mathematics is one of my favorite subjects,ASBM02I,ASBLM02G,SQMS-02i,SQMS-02g,Student,,✓,✓,✓
How much do you agree with these statements about your mathematics lessons? My teacher makes it clear what we should learn in each lesson,ASBM03A,ASBLM03A,SQMS-03a,SQMS-03a,Student,,✓,✓,✓
How much do you agree with these statements about your mathematics lessons? My teacher is easy to understand,ASBM03B,ASBLM03B,SQMS-03b,SQMS-03b,Student,,✓,✓,✓
How much do you agree with these statements about your mathematics lessons? My teacher has clear answers to my questions,ASBM03C,ASBLM03C,SQMS-03c,SQMS-03c,Student,,✓,✓,✓
How much do you agree with these statements about your mathematics lessons? My teacher is good at explaining mathematics,ASBM03D,ASBLM03D,SQMS-03d,SQMS-03d,Student,,✓,✓,✓
How much do you agree with these statements about your mathematics lessons? My teacher does a variety of things to help us learn,ASBM03E,ASBLM03E,SQMS-03e,SQMS-03e,Student,,✓,✓,✓
How much do you agree with these statements about your mathematics lessons? My teacher explains a topic again when we don’t understand,ASBM03F,ASBLM03F,SQMS-03f,SQMS-03f,Student,,✓,✓,✓
How much do you agree with these statements about your mathematics lessons? My teacher gives me helpful feedback on my work,ASBM03G,ASBLM03G,SQMS-03g,SQMS-03g,Student,,✓,✓,✓
How much do you agree with these statements about your mathematics lessons? My teacher asks me to show what I have learned,ASBM03H,ASBLM03H,SQMS-03h,SQMS-03h,Student,,✓,✓,✓
How much do you agree with these statements about your mathematics lessons? My teacher asks me to explain my answers,ASBM03I,ASBLM03I,SQMS-03i,SQMS-03i,Student,,✓,✓,✓
How often do these things happen in your mathematics lessons? Students don't listen to what the teacher says,ASBM04A,ASBLM04A,SQMS-04a,SQMS-04a,Student,,✓,✓,✓
How often do these things happen in your mathematics lessons? There is too much noise for students to work well,ASBM04B,ASBLM04B,SQMS-04b,SQMS-04b,Student,,✓,✓,✓
How often do these things happen in your mathematics lessons? My teacher has to wait a long time for students to be quiet,ASBM04C,ASBLM04C,SQMS-04c,SQMS-04c,Student,,✓,✓,✓
How often do these things happen in your mathematics lessons? Students interrupt the teacher,ASBM04D,ASBLM04D,SQMS-04d,SQMS-04d,Student,,✓,✓,✓
How often do these things happen in your mathematics lessons? Students do not follow the classroom rules,ASBM04E,ASBLM04E,SQMS-04e,SQMS-04e,Student,,✓,✓,✓
How often do these things happen in your mathematics lessons? Other students' behavior makes it hard for me to concentrate,ASBM04F,ASBLM04F,SQMS-04f,SQMS-04f,Student,,✓,✓,✓
How much do you agree with these statements about mathematics? I usually do well in mathematics,ASBM05A,ASBLM05A,SQMS-05a,SQMS-05a,Student,,✓,✓,✓
How much do you agree with these statements about mathematics? Mathematics is harder for me than for many of my classmates,ASBM05B,ASBLM05B,SQMS-05b,SQMS-05b,Student,,✓,✓,✓
How much do you agree with these statements about mathematics? I am just not good at mathematics,ASBM05C,ASBLM05C,SQMS-05c,SQMS-05c,Student,,✓,✓,✓
How much do you agree with these statements about mathematics? Mathematics is easy for me,ASBM05D,ASBLM05D,SQMS-05d,SQMS-05d,Student,,✓,✓,✓
How much do you agree with these statements about mathematics? I am good at working out difficult mathematics problems,ASBM05E,ASBLM05E,SQMS-05e,SQMS-05e,Student,,✓,✓,✓
How much do you agree with these statements about mathematics? Mathematics is harder for me than any other subject,ASBM05F,ASBLM05F,SQMS-05f,SQMS-05f,Student,,✓,✓,✓
How much do you agree with these statements about mathematics? Mathematics makes me confused,ASBM05G,ASBLM05G,SQMS-05g,SQMS-05g,Student,,✓,✓,✓
"In science lessons, how often does your teacher ask you to conduct science experiments?
",ASBS06,ASBLS06,SQMS-06,SQMS-06,Student,,✓,✓,✓
How much do you agree with these statements about learning science? I enjoy learning science,ASBS07A,ASBLS07A,SQMS-07a,SQMS-07a,Student,,✓,✓,✓
How much do you agree with these statements about learning science? I wish I did not have to study science,ASBS07B,,SQMS-07b,,Student,,✓,,
How much do you agree with these statements about learning science? Science is boring,ASBS07C,,SQMS-07c,,Student,,✓,,
How much do you agree with these statements about learning science? I learn many interesting things in science,ASBS07D,ASBLS07B,SQMS-07d,SQMS-07b,Student,,✓,✓,✓
How much do you agree with these statements about learning science? I like science,ASBS07E,ASBLS07C,SQMS-07e,SQMS-07c,Student,,✓,✓,✓
How much do you agree with these statements about learning science? I look forward to learning science in school,ASBS07F,ASBLS07D,SQMS-07f,SQMS-07d,Student,,✓,✓,✓
How much do you agree with these statements about learning science? Science teaches me how things in the world work,ASBS07G,ASBLS07E,SQMS-07g,SQMS-07e,Student,,✓,✓,✓
How much do you agree with these statements about learning science? I like to do science experiments,ASBS07H,ASBLS07F,SQMS-07h,SQMS-07f,Student,,✓,✓,✓
How much do you agree with these statements about learning science? Science is one of my favorite subjects,ASBS07I,ASBLS07G,SQMS-07i,SQMS-07g,Student,,✓,✓,✓
How much do you agree with these statements about your science lessons? My teacher makes it clear what we should learn in each lesson,ASBS08A,ASBLS08A,SQMS-08a,SQMS-08a,Student,,✓,✓,✓
How much do you agree with these statements about your science lessons? My teacher is easy to understand,ASBS08B,ASBLS08B,SQMS-08b,SQMS-08b,Student,,✓,✓,✓
How much do you agree with these statements about your science lessons? My teacher has clear answers to my questions,ASBS08C,ASBLS08C,SQMS-08c,SQMS-08c,Student,,✓,✓,✓
How much do you agree with these statements about your science lessons? My teacher is good at explaining science,ASBS08D,ASBLS08D,SQMS-08d,SQMS-08d,Student,,✓,✓,✓
How much do you agree with these statements about your science lessons? My teacher does a variety of things to help us learn,ASBS08E,ASBLS08E,SQMS-08e,SQMS-08e,Student,,✓,✓,✓
How much do you agree with these statements about your science lessons? My teacher explains a topic again when we don’t understand,ASBS08F,ASBLS08F,SQMS-08f,SQMS-08f,Student,,✓,✓,✓
How much do you agree with these statements about your science lessons? My teacher gives me helpful feedback on my work,ASBS08G,ASBLS08G,SQMS-08g,SQMS-08g,Student,,✓,✓,✓
How much do you agree with these statements about your science lessons? My teacher asks me to show what I have learned,ASBS08H,ASBLS08H,SQMS-08h,SQMS-08h,Student,,✓,✓,✓
How much do you agree with these statements about your science lessons? My teacher asks me to explain my answers,ASBS08I,ASBLS08I,SQMS-08i,SQMS-08i,Student,,✓,✓,✓
How often do these things happen in your science lessons? Students don't listen to what the teacher says,ASBS09A,ASBLS09A,SQMS-09a,SQMS-09a,Student,,✓,✓,✓
How often do these things happen in your science lessons? There is too much noise for students to work well,ASBS09B,ASBLS09B,SQMS-09b,SQMS-09b,Student,,✓,✓,✓
How often do these things happen in your science lessons? My teacher has to wait a long time for students to be quiet,ASBS09C,ASBLS09C,SQMS-09c,SQMS-09c,Student,,✓,✓,✓
How often do these things happen in your science lessons? Students interrupt the teacher,ASBS09D,ASBLS09D,SQMS-09d,SQMS-09d,Student,,✓,✓,✓
How often do these things happen in your science lessons? Students do not follow the classroom rules,ASBS09E,ASBLS09E,SQMS-09e,SQMS-09e,Student,,✓,✓,✓
How often do these things happen in your science lessons? Other students' behavior makes it hard for me to concentrate,ASBS09F,ASBLS09F,SQMS-09f,SQMS-09f,Student,,✓,✓,✓
How much do you agree with these statements about science? I usually do well in science,ASBS10A,ASBLS10A,SQMS-10a,SQMS-10a,Student,,✓,✓,✓
How much do you agree with these statements about science? Science is harder for me than for many of my classmates,ASBS10B,ASBLS10B,SQMS-10b,SQMS-10b,Student,,✓,✓,✓
How much do you agree with these statements about science? I am just not good at science,ASBS10C,ASBLS10C,SQMS-10c,SQMS-10c,Student,,✓,✓,✓
How much do you agree with these statements about science? Science is easy for me,ASBS10D,ASBLS10D,SQMS-10d,SQMS-10d,Student,,✓,✓,✓
How much do you agree with these statements about science? Science is harder for me than any other subject,ASBS10E,ASBLS10E,SQMS-10e,SQMS-10e,Student,,✓,✓,✓
How much do you agree with these statements about science? Science makes me confused,ASBS10F,ASBLS10F,SQMS-10f,SQMS-10f,Student,,✓,✓,✓
Which of these describes you?,ASBG01,ASBLG01,SQG-01,SQG-01,Student,,✓,✓,✓
When were you born? Month,ASBG02A,ASBLG02A,SQG-02a,SQG-02A,Student,,✓,✓,✓
When were you born? Year,ASBG02B,ASBLG02B,SQG-02b,SQG-02B,Student,,✓,✓,✓
How often do you speak <language of test> at home?,ASBG03,ASBLG03,SQG-03,SQG-03,Student,,✓,✓,✓
"About how many books are there in your home? (Do not count magazines, newspapers, or your school books.)",ASBG04,ASBLG04,SQG-04,SQG-04,Student,,✓,✓,✓
Do you have any of these things at your home? Your own computer or tablet,ASBG05A,ASBLG05A,SQG-05a,SQG-05a,Student,,✓,✓,✓
Do you have any of these things at your home? A shared computer or tablet you can use,ASBG05B,ASBLG05B,SQG-05b,SQG-05b,Student,,✓,✓,✓
Do you have any of these things at your home? A smartphone,ASBG05C,ASBLG05C,SQG-05c,SQG-05c,Student,,✓,✓,✓
Do you have any of these things at your home? Access to the internet,ASBG05D,ASBLG05D,SQG-05d,SQG-05d,Student,,✓,✓,✓
Do you have any of these things at your home? Study desk/table for your use,ASBG05E,ASBLG05E,SQG-05e,SQG-05e,Student,,✓,✓,✓
Do you have any of these things at your home? Your own room,ASBG05F,ASBLG05F,SQG-05f,SQG-05f,Student,,✓,✓,✓
About how often are you absent from school?,ASBG08,ASBLG06,SQG-08,SQG-06,Student,,✓,✓,✓
How often do you feel this way when you arrive at school? I feel tired,ASBG09A,ASBLG07A,SQG-09a,SQG-07a,Student,,✓,✓,✓
How often do you feel this way when you arrive at school? I feel hungry,ASBG09B,ASBLG07B,SQG-09b,SQG-07b,Student,,✓,✓,✓
"How often do you feel this way when you arrive at school? I feel <unwell> (e.g., headache, stomachache)",,ASBLG07C,,SQG-07c,Student,,,✓,
How often do you feel this way when you arrive at school? I feel happy,,ASBLG07D,,SQG-07d,Student,,,✓,
How often do you feel this way when you arrive at school? I feel worried about the school day,,ASBLG07E,,SQG-07e,Student,,,✓,
"How much do you agree with these statements? I can write and edit text on a computer, tablet, or smartphone",ASBG10A,ASBLG08A,SQG-10a,SQG-08a,Student,,✓,✓,✓
"How much do you agree with these statements? I can create school presentations using a computer, tablet, or smartphone",ASBG10B,ASBLG08B,SQG-10b,SQG-08b,Student,,✓,✓,✓
"How much do you agree with these statements? I can create tables, charts, and graphs using a computer, tablet, or smartphone",ASBG10C,ASBLG08C,SQG-10c,SQG-08c,Student,,✓,✓,✓
How much do you agree with these statements? I can find information that I need online,ASBG10D,ASBLG08D,SQG-10d,SQG-08d,Student,,✓,✓,✓
How much do you agree with these statements? I can tell if a website is trustworthy,ASBG10E,ASBLG08E,SQG-10e,SQG-08e,Student,,✓,✓,✓
"How much do you agree with these statements? I can easily do new things on computers, laptops, or smartphones",ASBG10F,ASBLG08F,SQG-10f,SQG-08f,Student,,✓,✓,✓
"How much do you agree with these statements? I can help my friends or family members with using their computers, laptops, or smartphones",ASBG10G,ASBLG08G,SQG-10g,SQG-08g,Student,,✓,✓,✓
How much do you agree with these statements? I care about the protection of plants and animals,ASBG11A,ASBLG09A,SQG-11a,SQG-09a,Student,,✓,✓,✓
How much do you agree with these statements? It makes me sad when nature is destroyed,ASBG11B,ASBLG09B,SQG-11b,SQG-09b,Student,,✓,✓,✓
How much do you agree with these statements? I enjoy finding out what kinds of plants and animals live in my surrounding area,ASBG11C,ASBLG09C,SQG-11c,SQG-09c,Student,,✓,✓,✓
"How much do you agree with these statements? I enjoy being in nature (e.g., <forests, parks, deserts>)",ASBG11D,ASBLG09D,SQG-11d,SQG-09d,Student,,✓,✓,✓
How much do you agree with these statements? Addressing climate change should be a high priority,ASBG11E,ASBLG09E,SQG-11e,SQG-09e,Student,,✓,✓,✓
"How often do you do these things to help the natural environment? I try to reuse things (e.g., <bags, bottles>)",ASBG12A,ASBLG10A,SQG-12a,SQG-10a,Student,,✓,✓,✓
"How often do you do these things to help the natural environment? I try to use less resources (e.g., <water, food>)",ASBG12B,ASBLG10B,SQG-12b,SQG-10b,Student,,✓,✓,✓
"How often do you do these things to help the natural environment? I talk about how to help the environment (e.g., <saving water, picking up trash>)",ASBG12C,ASBLG10C,SQG-12c,SQG-10c,Student,,✓,✓,✓
"How often do you do these things to help the natural environment? I try to learn about environmental problems (e.g., <climate change, endangered animals>)",ASBG12D,ASBLG10D,SQG-12d,SQG-10d,Student,,✓,✓,✓
How often do you do these things to help the natural environment? I try to participate in group activities to help the environment,ASBG12E,ASBLG10E,SQG-12e,SQG-10e,Student,,✓,✓,✓
How often do you do these things to help the natural environment? I tell my friends when they are doing things that harm the environment,ASBG12F,ASBLG10F,SQG-12f,SQG-10f,Student,,✓,✓,✓
What do you think about your school? Tell how much you agree with these statements. I like being in school,ASBG13A,ASBLG11A,SQG-13a,SQG-11a,Student,,✓,✓,✓
What do you think about your school? Tell how much you agree with these statements. I feel safe when I am at school,ASBG13B,ASBLG11B,SQG-13b,SQG-11b,Student,,✓,✓,✓
What do you think about your school? Tell how much you agree with these statements. I feel like I belong at this school,ASBG13C,ASBLG11C,SQG-13c,SQG-11c,Student,,✓,✓,✓
